PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Bocquet-Tremoureux, S; Corvec, S; Khammari, A; Dagnelie, MA; Boisrobert, A; Dreno, B				Bocquet-Tremoureux, S.; Corvec, S.; Khammari, A.; Dagnelie, M. -A.; Boisrobert, A.; Dreno, B.			Acne fulminans and Cutibacterium acnes phylotypes	JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY																														0926-9959	1468-3083				APR	2020	34	4					827	833		10.1111/jdv.16064								WOS:000521977200046	31715640					
J	Laurent, B; Peyron, R; Bastuji, H; Frot, M; Larrea, LG				Laurent, B.; Peyron, R.; Bastuji, H.; Frot, M.; Larrea, L. Garcia			Pain and subconscious mechanisms	BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE																														0001-4079					APR	2020	204	4					397	403		10.1016/j.banm.2020.01.021								WOS:000528230900008						
J	Macalli, M; Cote, S; Tzourio, C				Macalli, Melissa; Cote, Sylvana; Tzourio, Christophe			Perceived parental support in childhood and adolescence as a tool for mental health screening in students: A longitudinal study in the i-Share cohort	JOURNAL OF AFFECTIVE DISORDERS																	Tzourio, christophe/B-4015-2009; Cote, Sylvana M./T-4600-2019	Tzourio, christophe/0000-0002-6517-2984; Cote, Sylvana M./0000-0001-7944-0647												0165-0327	1573-2517				APR 1	2020	266						512	519		10.1016/j.jad.2020.02.009								WOS:000520892700066	32056920					
J	Orgeolet, L; Foulquier, N; Misery, L; Redou, P; Pers, JO; Devauchelle-Pensec, V; Saraux, A				Orgeolet, Laure; Foulquier, Nathan; Misery, Laurent; Redou, Pascal; Pers, Jacques-Olivier; Devauchelle-Pensec, Valerie; Saraux, Alain			Can artificial intelligence replace manual search for systematic literature? Review on cutaneous manifestations in primary Sjogren's syndrome	RHEUMATOLOGY																														1462-0324	1462-0332				APR	2020	59	4					811	819		10.1093/rheumatology/kez370								WOS:000536506900020	31504928					
J	Cambien, G; Venisse, N; Migeot, V; Rabouan, S; Belmouaz, M; Binson, G; Albouy-Llaty, M; Ayraud-Thevenot, S; Dupuis, A				Cambien, Guillaume; Venisse, Nicolas; Migeot, Virginie; Rabouan, Sylvie; Belmouaz, Mohamed; Binson, Guillaume; Albouy-Llaty, Marion; Ayraud-Thevenot, Sarah; Dupuis, Antoine			Simultaneous determination of bisphenol A and its chlorinated derivatives in human plasma: Development, validation and application of a UHPLC-MS/MS method	CHEMOSPHERE																	migeot, virginie/G-4483-2010; Binson, Guillaume/AAQ-3038-2020	migeot, virginie/0000-0003-3713-219X; Venisse, Nicolas/0000-0002-7466-6388; CAMBIEN, Guillaume/0000-0001-9862-5778; DUPUIS, Antoine/0000-0003-2471-5679												0045-6535	1879-1298				MAR	2020	242								125236	10.1016/j.chemosphere.2019.125236								WOS:000509786600030	31896187					
J	Leys, D; Drelon, A				Leys, D.; Drelon, A.			May thrombolytic therapy induce cerebral haemorrhages outside the ischaemic area?	BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE																														0001-4079					MAR	2020	204	3					277	282		10.1016/j.banm.2019.12.015								WOS:000528201800012						
J	Nardin, C; Jeand'heur, A; Bouiller, K; Valnet-Rabier, MB; Dresco, F; Castagna, J; Mareschal, A; Carlet, C; Nerich, V; Limat, S; Puzenat, E; Aubin, F				Nardin, Charlee; Jeand'heur, Anne; Bouiller, Kevin; Valnet-Rabier, Marie Blanche; Dresco, Flora; Castagna, Julie; Mareschal, Adrien; Carlet, Clementine; Nerich, Virginie; Limat, Samuel; Puzenat, Eve; Aubin, Francois			Vitiligo under anti-programmed cell death-1 therapy is associated with increased survival in melanoma patients	JOURNAL OF THE AMERICAN ACADEMY OF DERMATOLOGY																	LIMAT, Samuel/AAC-4762-2022; Aubin, Francois/ABE-1236-2021; Bouiller, Kevin/AAG-3505-2021; Aubin, Francois/AAB-5824-2022	Aubin, Francois/0000-0002-1421-4996; Aubin, Francois/0000-0002-1421-4996; NERICH, Virginie/0000-0002-0351-6040												0190-9622	1097-6787				MAR	2020	82	3					770	772		10.1016/j.jaad.2019.11.017								WOS:000513949800065	31734192					
J	Hernanz, MPG; Sorel, N; Bouyer, S; Desmier, D; Chollet, M; Maillard, N; Brizard, F; Moya, N; Diaz, JMT; Leleu, X; Chomel, JC				Gallego Hernanz, Maria Pilar; Sorel, Nathalie; Bouyer, Sabrina; Desmier, Deborah; Chollet, Melanie; Maillard, Natacha; Brizard, Francoise; Moya, Niels; Diaz, Jose Miguel Torregrosa; Leleu, Xavier; Chomel, Jean-Claude			Longitudinal clonal architecture of acute myeloid leukemia with NPM1 driver insertion, early TET2 mutations and secondary e6a2 BCR-ABL1 rearrangement	LEUKEMIA & LYMPHOMA																	Chomel, Jean-Claude/AAE-9039-2021	Chomel, Jean Claude/0000-0001-9227-1104												1042-8194	1029-2403				JUN 6	2020	61	7					1709	1713		10.1080/10428194.2020.1728751		FEB 2020						WOS:000514989900001	32077355					
J	Gorenjak, V; Petrelis, AM; Stathopoulou, MG; Visvikis-Siest, S				Gorenjak, Vesna; Petrelis, Alexandros M.; Stathopoulou, Maria G.; Visvikis-Siest, Sophie			Telomere length determinants in childhood	CLINICAL CHEMISTRY AND LABORATORY MEDICINE																	Visvikis-Siest, Sophie/H-2324-2014	Visvikis-Siest, Sophie/0000-0001-8104-8425; Petrelis, Alexandros/0000-0001-9156-4896												1434-6621	1437-4331				FEB	2020	58	2					162	177		10.1515/cclm-2019-0235								WOS:000505017300012	31465289					
J	Pekar, JD; Grzych, G; Durand, G; Haas, J; Lionet, A; Brousseau, T; Glowacki, F; Maboudou, P				Pekar, Jean-David; Grzych, Guillaume; Durand, Gatien; Haas, Joel; Lionet, Arnaud; Brousseau, Thierry; Glowacki, Francois; Maboudou, Patrice			Calcium state estimation by total calcium: the evidence to end the never-ending story	CLINICAL CHEMISTRY AND LABORATORY MEDICINE																	GRZYCH, Guillaume/C-8094-2019	Pekar, Jean-David/0000-0002-8080-6914; Haas, Joel/0000-0002-0028-5988												1434-6621	1437-4331				FEB	2020	58	2					222	231		10.1515/cclm-2019-0568								WOS:000505017300018	31473684					
J	Saby, M; Gauthier, A; Barial, S; Egoumenides, L; Jover, B				Saby, Marion; Gauthier, Audrey; Barial, Sandy; Egoumenides, Laure; Jover, Bernard			Supplementation with a Bioactive Melon Concentrate in Humans and Animals: Prevention of Oxidative Damages and Fatigue in the Context of a Moderate or Eccentric Physical Activity	INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH																															1660-4601				FEB	2020	17	4							1142	10.3390/ijerph17041142								WOS:000522388500018	32053942					
J	Li, Z; Rotival, M; Patin, E; Michel, F; Pellegrini, S				Li, Zhi; Rotival, Maxime; Patin, Etienne; Michel, Frederique; Pellegrini, Sandra			Two common disease-associated TYK2 variants impact exon splicing and TYK2 dosage	PLOS ONE																		VAL, Thierry/0000-0002-5749-8570												1932-6203					JAN 21	2020	15	1							e0225289	10.1371/journal.pone.0225289								WOS:000534372000005	31961910					
J	Arbabyazd, LM; Lombardo, D; Blin, O; Didic, M; Battaglia, D; Jirsa, V				Arbabyazd, Lucas M.; Lombardo, Diego; Blin, Olivier; Didic, Mira; Battaglia, Demian; Jirsa, Viktor			Dynamic Functional Connectivity as a complex random walk: Definitions and the dFCwalk toolbox	METHODSX																	Didic, M/AAC-4963-2022; Jirsa, Viktor/M-4630-2016; Battaglia, Demian/C-1281-2017	Jirsa, Viktor/0000-0002-8251-8860; Battaglia, Demian/0000-0003-2021-7920													2215-0161					2020	7								101168	10.1016/j.mex.2020.101168								WOS:000607660800033	33344179					
J	Nabhan, M; Gallais, Y; Pallardy, M; Turbica, I				Nabhan, Myriam; Gallais, Yann; Pallardy, Marc; Turbica, Isabelle			Growth Hormone Aggregates Activation of Human Dendritic Cells Is Controlled by Rac1 and PI3 Kinase Signaling Pathways	JOURNAL OF PHARMACEUTICAL SCIENCES																		Nabhan, Myriam/0000-0002-1591-6391												0022-3549	1520-6017				JAN	2020	109	1					927	932		10.1016/j.xphs.2019.09.007								WOS:000507930900091	31520643					
J	Sylvestre, M; Tarte, K; Roulois, D				Sylvestre, Marvin; Tarte, Karin; Roulois, David			Epigenetic mechanisms driving tumor supportive microenvironment differentiation and function: a role in cancer therapy?	EPIGENOMICS																	Roulois, David/F-3732-2017	Roulois, David/0000-0002-8966-0608												1750-1911	1750-192X				JAN	2020	12	2					157	169		10.2217/epi-2019-0165								WOS:000530624900006	31849241					
J	Todorova, R; Zugaro, M				Todorova, Ralitsa; Zugaro, Michael			Hippocampal ripples as a mode of communication with cortical and subcortical areas	HIPPOCAMPUS																		Zugaro, Michael/0000-0002-6199-2635; Todorova, Ralitsa/0000-0003-2238-0297												1050-9631	1098-1063				JAN	2020	30	1			SI		39	49		10.1002/hipo.22997								WOS:000505280000005	30069976					
J	Toffery, P; de Vries, S				Toffery, Pierre; de Vries, Sjoerd			The search of sequence variants using a constrained protein evolution simulation approach	COMPUTATIONAL AND STRUCTURAL BIOTECHNOLOGY JOURNAL																		Tuffery, Pierre/0000-0003-1033-9895												2001-0370						2020	18						1790	1799		10.1016/j.csbj.2020.06.018								WOS:000607338200007	32695271					
J	Febvre-James, M; Lecureur, V; Fardel, O				Febvre-James, Marie; Lecureur, Valerie; Fardel, Olivier			Potent repression of C-reactive protein (CRP) expression by the JAK1/2 inhibitor ruxolitinib in inflammatory human hepatocytes	INFLAMMATION RESEARCH																	Sharma, Ashwani/AAK-3879-2020	Sharma, Ashwani/0000-0001-9835-1973												1023-3830	1420-908X				JAN	2020	69	1					51	62		10.1007/s00011-019-01293-1		OCT 2019						WOS:000492561000001	31654094					
J	Nourhashemi, M; Mahmoudzadeh, M; Goudil, S; Kongolo, G; Wallois, F				Nourhashemi, Mina; Mahmoudzadeh, Mandi; Goudil, Sabrina; Kongolo, Guy; Wallois, Fabrice			Neurovascular coupling in the developing neonatal brain at rest	HUMAN BRAIN MAPPING																	Mahmoudzadeh/AAG-8578-2021	Mahmoudzadeh/0000-0003-3145-2133												1065-9471	1097-0193				FEB 1	2020	41	2					503	519		10.1002/hbm.24818		OCT 2019						WOS:000489351600001	31600024					
J	Veret, D; Brondello, JM				Veret, Damien; Brondello, Jean-Marc			Senotherapy: Advances and new clinical perspectives	M S-MEDECINE SCIENCES																	Brondello, Jean-Marc/U-8232-2017	Brondello, Jean-Marc/0000-0001-5991-3945												0767-0974	1958-5381				DEC 9	2020	36	12					1135	1142		10.1051/medsci/2020220								WOS:000597192900007	33296630					
J	Toure, L; Ridde, V				Toure, Laurence; Ridde, Valery			The emergence of the national medical assistance scheme for the poorest in Mali	GLOBAL PUBLIC HEALTH																		Ridde, Valery/0000-0001-9299-8266												1744-1692	1744-1706				JAN 2	2022	17	1					55	67		10.1080/17441692.2020.1855459		DEC 2020						WOS:000596166300001	33275873					
J	Saib, S; Hodin, S; He, ZG; Delezay, O; Delavenne, X				Saib, Sonia; Hodin, Sophie; He, Zhiguo; Delezay, Olivier; Delavenne, Xavier			Is the human model RPTEC/TERT1 a relevant model for assessing renal drug efflux?	FUNDAMENTAL & CLINICAL PHARMACOLOGY																		Saib, Sonia/0000-0003-4091-8900												0767-3981	1472-8206				AUG	2021	35	4					732	743		10.1111/fcp.12631		NOV 2020						WOS:000593110300001	33185296					
J	Cornut, M; Bourdonnay, E; Henry, T				Cornut, Maxence; Bourdonnay, Emilie; Henry, Thomas			Transcriptional Regulation of Inflammasomes	INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES																	henry, thomas/G-3160-2013	henry, thomas/0000-0002-0687-8565; CORNUT, Maxence/0000-0002-1574-3531													1422-0067				NOV	2020	21	21							8087	10.3390/ijms21218087								WOS:000588925900001	33138274					
J	Frumence, E; Haddad, JG; Vanwalscappel, B; Andries, J; Decotter, J; Viranaicken, W; Gadea, G; Despres, P				Frumence, Etienne; Haddad, Juliano G.; Vanwalscappel, Benedicte; Andries, Jessica; Decotter, Jason; Viranaicken, Wildriss; Gadea, Gilles; Despres, Philippe			Immune Reactivity of a 20-mer Peptide Representing the Zika E Glycan Loop Involves the Antigenic Determinants E-152/156/158	VIRUSES-BASEL																		viranaicken, wildriss/0000-0002-0915-8635; Gilles, Gadea/0000-0001-6325-4866; Decotter, Jason/0000-0003-0919-5820													1999-4915				NOV	2020	12	11							1258	10.3390/v12111258								WOS:000593817900001	33167511					
J	Henrion, A; Courtet, P; Arpon-Brand, V; Lafrancesca, A; Lacourt, L; Jaussent, I; Guillaume, S; Olie, E; Ducasse, D				Henrion, Audrey; Courtet, Philippe; Arpon-Brand, Veronique; Lafrancesca, Audrey; Lacourt, Laetitia; Jaussent, Isabelle; Guillaume, Sebastien; Olie, Emilie; Ducasse, Deborah			PEPSUI, a Psychoeducational Program for the Management of Suicidal Patients: A Qualitative Study From a Randomized Controlled Trial	FRONTIERS IN PSYCHIATRY																		Jaussent, Isabelle/0000-0002-8205-7590												1664-0640					SEP 30	2020	11								500447	10.3389/fpsyt.2020.500447								WOS:000578288200001	33132924					
J	Bourdier, G; Detrait, M; Bouyon, S; Lemarie, E; Brasseur, S; Doutreleau, S; Pepin, JL; Godin-Ribuot, D; Belaidi, E; Arnaud, C				Bourdier, Guillaume; Detrait, Maximin; Bouyon, Sophie; Lemarie, Emeline; Brasseur, Sandrine; Doutreleau, Stephane; Pepin, Jean-Louis; Godin-Ribuot, Diane; Belaidi, Elise; Arnaud, Claire			Intermittent Hypoxia Triggers Early Cardiac Remodeling and Contractile Dysfunction in the Time-Course of Ischemic Cardiomyopathy in Rats	JOURNAL OF THE AMERICAN HEART ASSOCIATION																	Arnaud, Claire/D-4698-2014; Belaidi, Elise/AAC-9050-2019	Arnaud, Claire/0000-0003-0964-9423; Belaidi, Elise/0000-0003-4589-1612; DOUTRELEAU, Stephane/0000-0001-8816-0356												2047-9980					AUG 18	2020	9	16							e016369	10.1161/JAHA.120.016369								WOS:000574868200019	32805159					
J	Deconinck, E; Petrella, T; Ottou, FG				Deconinck, Eric; Petrella, Tony; Ottou, Francine Garnache			Blastic Plasmacytoid Dendritic Cell Neoplasm Clinical Presentation and Diagnosis	HEMATOLOGY-ONCOLOGY CLINICS OF NORTH AMERICA																	Garnache Ottou, Francine/ABE-2092-2021; DECONINCK, ERIC/AAF-3647-2021	DECONINCK, ERIC/0000-0002-6006-8088												0889-8588	1558-1977				JUN	2020	34	3					491	500		10.1016/j.hoc.2020.01.010								WOS:000528279800002	32336414					
J	Lemoine, A; Giabicani, E; Lockhart, V; Grimprel, E; Tounian, P				Lemoine, A.; Giabicani, E.; Lockhart, V; Grimprel, E.; Tounian, P.			Case report of nutritional rickets in an infant following a vegan diet	ARCHIVES DE PEDIATRIE																	Tounian, Patrick/AAF-6226-2021													0929-693X	1769-664X				MAY	2020	27	4					219	222		10.1016/j.arcped.2020.03.008								WOS:000531096900009	32334899					
J	Delyfer, MN; Legout, P; Le Goff, M; Blaizeau, M; Rougier, MB; Schweitzer, C; Korobelnik, JF; Delcourt, C				Delyfer, Marie-Noelle; Legout, Pierre; Le Goff, Melanie; Blaizeau, Marion; Rougier, Marie-Benedicte; Schweitzer, Cedric; Korobelnik, Jean-Francois; Delcourt, Cecile			Prevalence of epiretinal membranes in the ageing population using retinal colour images and SD-OCT: the Alienor Study	ACTA OPHTHALMOLOGICA																	Delcourt, Cecile/I-2627-2013	Delcourt, Cecile/0000-0002-2099-0481; Delyfer, Marie-Noelle/0000-0002-3127-8617; LE GOFF, Melanie/0000-0003-2848-6287; Schweitzer, Cedric/0000-0002-2162-9479												1755-375X	1755-3768				NOV	2020	98	7					E830	E838		10.1111/aos.14422		APR 2020						WOS:000527291400001	32304162					
J	Lomonte, P; Baklouti, F; Binda, O				Lomonte, Patrick; Baklouti, Faouzi; Binda, Olivier			The Biochemistry of Survival Motor Neuron Protein Is Paving the Way to Novel Therapies for Spinal Muscle Atrophy	BIOCHEMISTRY																	BAKLOUTI, Faouzi/E-7670-2013	BAKLOUTI, Faouzi/0000-0002-2830-292X; LOMONTE, PATRICK/0000-0001-9248-648X												0006-2960					APR 14	2020	59	14					1391	1397		10.1021/acs.biochem.9b01124								WOS:000526392400001	32227847					
J	Billoir, P; Feugray, G; Chretien, MH; Duchez, VL				Billoir, Paul; Feugray, Guillaume; Chretien, Marie H.; Duchez, Veronique Le Cam			Thrombin generation assay is a useful pre-operative tool to predict non-bleeding risk in a patient with mild factor V deficiency	TRANSFUSION MEDICINE																		Billoir, Paul/0000-0001-5632-7713												0958-7578	1365-3148				OCT	2020	30	5					408	409		10.1111/tme.12680		APR 2020						WOS:000558366300001	32250000					
J	Clement, A; Boutley, H; Poussier, S; Pierson, J; Lhuillier, M; Kolodziej, A; Olivier, JL; Karcher, G; Marie, PY; Maskali, F				Clement, Alexandra; Boutley, Henri; Poussier, Sylvain; Pierson, Julien; Lhuillier, Mickael; Kolodziej, Allan; Olivier, Jean-Luc; Karcher, Gilles; Marie, Pierre-Yves; Maskali, Fatiha			A 1-week extension of a ketogenic diet provides a further decrease in myocardial F-18-FDG uptake and a high detectability of myocarditis with FDG-PET	JOURNAL OF NUCLEAR CARDIOLOGY																	Olivier, Jean luc/AAQ-2721-2021; Marie, pierre-yves/AAY-6971-2020													1071-3581	1532-6551				APR	2020	27	2					612	618		10.1007/s12350-018-1404-7								WOS:000529014700035	30128917					
J	Fortrat, JO				Fortrat, Jacques-Olivier			Zipf's Law of Vasovagal Heart Rate Variability Sequences	ENTROPY																		fortrat, jacques olivier/0000-0002-9272-0157													1099-4300				APR	2020	22	4							413	10.3390/e22040413								WOS:000537222600010	33286187					
J	Lalanne, S; Jezequel, C; Tron, C; Verdier, MC; Mercerolle, M; Pronier, C; Guyader, D; Lemaitre, F				Lalanne, Sebastien; Jezequel, Caroline; Tron, Camille; Verdier, Marie-Clemente; Mercerolle, Marion; Pronier, Charlotte; Guyader, Dominique; Lemaitre, Florian			Therapeutic Drug Monitoring-Guided Crushed Sofosbuvir-Velpatasvir Treatment: A Case Study	THERAPEUTIC DRUG MONITORING																	Pronier, Charlotte/D-3036-2017													0163-4356	1536-3694				APR	2020	42	2					163	164		10.1097/FTD.0000000000000718								WOS:000523697000001	32195986					
J	Nguyen-Pham, TQ; Benyahia, L; Bastiat, G; Riou, J; Venier-Julienne, MC				Thao-Quyen Nguyen-Pham; Benyahia, Lazhar; Bastiat, Guillaume; Riou, Jeremie; Venier-Julienne, Marie-Claire			Behavior of poly(D,L-lactic-co-glycolic acid) (PLGA)-based droplets falling into a complex extraction medium simulating the prilling process	JOURNAL OF COLLOID AND INTERFACE SCIENCE																		Bastiat, Guillaume/0000-0001-6495-6747; Venier-Julienne, Marie-Claire/0000-0002-6636-8284; Riou, Jeremie/0000-0002-7056-9257												0021-9797	1095-7103				MAR 1	2020	561						838	848		10.1016/j.jcis.2019.11.066								WOS:000508752600081	31813576					
J	Rivoire, O				Rivoire, Olivier			Geometry and Flexibility of Optimal Catalysts in a Minimal Elastic Model	JOURNAL OF PHYSICAL CHEMISTRY B																														1520-6106	1520-5207				FEB 6	2020	124	5					807	813		10.1021/acs.jpcb.0c00244								WOS:000529212400013	31990545					
J	Teissier, N				Teissier, N.			Discussion about the presentation: "Neurosensory sequelae of congenital cytomegalovirus infection"	BULLETIN DE L ACADEMIE NATIONALE DE MEDECINE																	Teissier, Natacha/ABD-5672-2020													0001-4079					FEB	2020	204	2					161	162		10.1016/j.banm.2019.12.010								WOS:000519336400011						
J	Lai, MC; Brian, M; Mamzer, MF				Lai, M-C; Brian, M.; Mamzer, M-F			Perceptions of artificial intelligence in healthcare: findings from a qualitative survey study among actors in France	JOURNAL OF TRANSLATIONAL MEDICINE																	Mamzer, Marie-France/V-1713-2017	Mamzer, Marie-France/0000-0001-7570-1803; Marie-Caroline, LAI/0000-0003-4488-7515													1479-5876				JAN 9	2020	18	1							14	10.1186/s12967-019-02204-y								WOS:000514640300004	31918710					
J	Braillon, A; Naudet, F				Braillon, Alain; Naudet, Florian			Meta-Analyses and the Janus Effect	PSYCHOTHERAPY AND PSYCHOSOMATICS																	Naudet, Florian/H-5644-2019	Naudet, Florian/0000-0003-3760-3801												0033-3190	1423-0348				JAN	2020	89	1					50	50		10.1159/000504201								WOS:000507926000008	31715607					
J	Droitcourt, C; Poizeau, F; Kerbrat, S; Balusson, F; Drezen, E; Happe, A; Travers, D; Oger, E; Dupuy, A				Droitcourt, C.; Poizeau, F.; Kerbrat, S.; Balusson, F.; Drezen, E.; Happe, A.; Travers, D.; Oger, E.; Dupuy, A.			Isotretinoin and risk factors for suicide attempt: a population-based comprehensive case series and nested case-control study using 2010-2014 French Health Insurance Data	JOURNAL OF THE EUROPEAN ACADEMY OF DERMATOLOGY AND VENEREOLOGY																		Droitcourt, Catherine/0000-0001-6714-6643												0926-9959	1468-3083				JUN	2020	34	6					1293	1301		10.1111/jdv.16005		NOV 2019						WOS:000497374100001	31587374					
